"Importado","AireAcondicionado","Codigo","Cilindraje","Potencia"
1,1,808046,2993,258
1,1,808047,2979,306
1,1,808048,2979,306
1,1,808049,2979,306
1,1,808050,2993,258
1,1,808051,1997,184
1,1,808052,2993,282
1,1,808053,4395,567
1,1,808054,4395,567
1,1,808055,4395,450
1,1,808056,1997,245
1,0,817005,649,45
1,0,817006,745,50
1,0,817011,1085,98
1,0,817012,1085,80
1,0,817013,652,50
1,0,817014,1170,105
1,0,817015,1130,85
1,0,817016,740,75
1,0,817019,848,70
1,0,817020,1130,85
1,0,817021,1170,109
1,0,817022,1170,110
1,0,817023,1170,107
1,0,817024,1170,110
1,0,817025,1157,163
1,0,817026,1157,167
1,0,817027,1171,116
1,0,817028,652,50
1,0,817029,798,85
1,0,817030,652,53
1,0,817031,176,18
1,0,817032,656,48
1,0,817033,449,50
1,0,817034,798,71
1,0,817035,1130,85
1,0,817036,798,85
1,0,817037,1293,175
1,0,817038,1170,105
1,0,817039,652,50
1,0,817040,1170,61
1,0,817041,798,87
1,0,817042,999,193
1,0,817043,1293,173
1,0,817044,1649,158
1,0,817045,647,60
1,0,817046,647,60
1,0,817047,798,75
1,0,817048,999,193
1,0,817049,652,48
1,0,817050,1170,125
1,0,817051,798,85
1,0,817052,1649,160
1,0,817053,652,48
1,0,817054,798,90
1,0,817055,1170,125
1,0,817056,999,160
1,0,817057,1170,110
1,0,817058,1170,125
1,0,817059,798,90
1,0,817060,1649,160
1,0,817061,999,160
1,0,817062,647,60
1,0,817063,1170,125
1,0,817064,1170,125
1,0,817065,1170,110
1,0,817066,313,33
1,0,903001,7636,170
1,0,903002,7636,170
1,0,903003,0,160
1,0,903004,7636,170
1,0,903006,0,0
1,0,904001,7636,195
1,0,904002,8000,250
1,0,904003,10000,310
1,0,910001,0,0
1,0,910080,7636,195
1,0,910082,7636,195
1,0,911001,7636,195
1,0,911002,10000,310
1,0,912001,0,0
1,0,912002,7636,195
1,0,922003,0,0
1,0,926001,7636,195
1,0,926002,10000,310
1,0,1001007,3800,170
1,0,1001008,3100,160
1,0,1001015,2200,120
1,0,1001016,3800,205
1,0,1001017,3800,205
1,0,1001018,3800,165
1,0,1001019,5700,260
1,1,1001020,3100,175
1,1,1001021,3800,170
1,1,1006001,3800,180
1,0,1117001,125,24
1,0,1117002,75,7
1,0,1117003,124,32
1,0,1117004,124,32
1,0,1117005,125,26
1,0,1117006,124,20
1,0,1117007,343,33
1,0,1117008,124,14
1,0,1117009,601,67
1,1,1201005,4600,295
1,1,1201006,1998,175
1,1,1201007,5700,260
1,1,1201008,2792,210
1,1,1201009,4900,200
1,1,1208001,6200,403
1,1,1208002,3600,308
1,1,1208003,6200,403
1,1,1208004,6200,403
1,1,1208005,6200,420
1,1,1221001,6200,403
1,0,1508001,3000,110
1,0,1508002,3000,115
1,0,1508003,3000,115
1,1,1601001,5800,275
1,0,1601005,5000,140
1,1,1601006,2000,80
1,0,1601007,2800,0
0,0,1601010,1400,0
0,0,1601011,1400,0
0,0,1601012,1400,73
0,0,1601013,1400,76
1,1,1601014,3100,140
0,0,1601024,1796,83
0,1,1601025,1796,83
0,0,1601026,1796,83
0,0,1601029,997,52
0,0,1601030,997,52
0,1,1601031,1796,83
0,1,1601034,1796,83
0,0,1601035,1796,83
0,1,1601036,2000,93
0,1,1601037,2000,93
0,1,1601038,2000,93
0,0,1601039,2000,93
0,0,1601040,1298,66
0,0,1601041,1298,66
0,0,1601042,1590,91
0,0,1601043,1590,91
1,1,1601044,2834,130
0,0,1601045,1600,73
0,1,1601046,1298,100
0,1,1601047,1298,100
1,1,1601048,3100,116
1,0,1601049,1000,52
1,1,1601050,2000,130
1,1,1601052,3100,116
0,1,1601055,1590,91
1,0,1601057,2200,220
1,1,1601058,2200,116
1,1,1601059,2200,116
0,0,1601060,1298,85
0,1,1601061,1590,96
0,0,1601062,1298,66
0,0,1601063,1300,70
1,0,1601064,1300,70
0,0,1601065,1300,70
0,1,1601066,1300,70
0,1,1601068,1389,84
0,0,1601069,1389,84
0,0,1601070,1389,84
0,0,1601071,1389,84
1,0,1601072,1598,90
1,0,1601073,1598,90
0,0,1601075,996,65
1,1,1601076,1590,96
0,1,1601078,1200,60
0,1,1601081,1200,60
1,1,1601084,2000,116
1,0,1601085,1598,90
1,1,1601086,1600,80
0,0,1601088,1298,66
0,0,1601089,1686,60
1,0,1601092,1298,85
0,1,1601093,1389,84
1,1,1601094,2200,147
0,1,1601096,996,65
1,1,1601097,2200,147
0,0,1601099,997,52
0,0,1601100,1389,84
1,1,1601101,1000,55
1,0,1601102,1389,84
1,0,1601103,1389,84
1,1,1601104,1796,102
0,0,1601105,1389,84
1,1,1601106,1998,116
1,1,1601107,1998,116
1,1,1601110,1796,125
1,1,1601111,1796,125
0,1,1601113,996,65
0,0,1601114,1598,90
1,1,1601118,1998,127
1,1,1601119,1998,127
1,1,1601120,2000,116
1,1,1601121,2000,116
1,1,1601122,2000,116
0,0,1601123,1389,84
0,1,1601124,1389,84
0,0,1601125,996,65
