"Codigo","Marca","Peso"
801364,"BMW",1545
801365,"BMW",1635
801366,"BMW",1825
801367,"BMW",1480
801368,"BMW",1580
801369,"BMW",1385
801370,"BMW",1390
801371,"BMW",1537
801372,"BMW",1750
801373,"BMW",1530
801374,"BMW",1950
801375,"BMW",1195
801376,"BMW",1535
801377,"BMW",1560
801378,"BMW",1537
801379,"BMW",1580
801380,"BMW",1586
801381,"BMW",1865
801382,"BMW",1370
801383,"BMW",1825
801384,"BMW",1605
801385,"BMW",1435
801386,"BMW",1320
801387,"BMW",1390
801388,"BMW",1675
801389,"BMW",1570
801390,"BMW",1615
801391,"BMW",1505
801392,"BMW",1495
801393,"BMW",1650
801394,"BMW",2005
801395,"BMW",1615
801396,"BMW",1560
801397,"BMW",1705
801398,"BMW",1455
801399,"BMW",1845
801400,"BMW",1550
801401,"BMW",1595
801402,"BMW",1385
801403,"BMW",1375
801404,"BMW",1570
801405,"BMW",1500
801406,"BMW",1615
801407,"BMW",1670
806001,"BMW",1297
806002,"BMW",1650
806003,"BMW",1510
806004,"BMW",1420
806005,"BMW",1390
806006,"BMW",1720
806008,"BMW",1690
806009,"BMW",1470
806012,"BMW",1815
806014,"BMW",1540
806015,"BMW",1290
806016,"BMW",1705
806017,"BMW",1618
806018,"BMW",1815
806019,"BMW",1450
806020,"BMW",1650
806021,"BMW",1685
806022,"BMW",1685
806023,"BMW",1660
806024,"BMW",1675
806025,"BMW",1505
806026,"BMW",1505
806027,"BMW",1570
806028,"BMW",1560
806029,"BMW",1485
806030,"BMW",1625
808001,"BMW",2195
808002,"BMW",2185
808003,"BMW",2070
808004,"BMW",1840
808005,"BMW",1780
808006,"BMW",2275
808007,"BMW",2095
808008,"BMW",1835
808009,"BMW",1815
808010,"BMW",1830
808011,"BMW",1840
808012,"BMW",2245
808013,"BMW",2245
808014,"BMW",2125
808015,"BMW",2145
808016,"BMW",2265
808017,"BMW",1825
808018,"BMW",1840
808019,"BMW",2150
808020,"BMW",2265
808021,"BMW",2145
808022,"BMW",1815
808023,"BMW",2380
808024,"BMW",1800
808025,"BMW",1820
808026,"BMW",2380
808027,"BMW",1880
808028,"BMW",1780
808029,"BMW",2145
808030,"BMW",1665
808031,"BMW",1875
808032,"BMW",2150
808033,"BMW",1800
808034,"BMW",2150
808035,"BMW",2150
808036,"BMW",1815
808037,"BMW",1815
808038,"BMW",2145
808039,"BMW",2175
808040,"BMW",2070
808041,"BMW",2030
808042,"BMW",1810
808043,"BMW",1845
808044,"BMW",1820
808045,"BMW",2070
808046,"BMW",2070
808047,"BMW",2030
808048,"BMW",2100
808049,"BMW",1890
808050,"BMW",2140
808051,"BMW",1735
808052,"BMW",2185
808053,"BMW",2340
808054,"BMW",2350
808055,"BMW",2245
808056,"BMW",2230
817005,"BMW",205
817006,"BMW",210
817011,"BMW",208
817012,"BMW",243
817013,"BMW",175
817014,"BMW",203
817015,"BMW",228
817016,"BMW",229
817019,"BMW",218
817020,"BMW",218
817021,"BMW",198
817022,"BMW",205
817023,"BMW",195
817024,"BMW",229
817025,"BMW",211
817026,"BMW",228
817027,"BMW",353
817028,"BMW",193
817029,"BMW",182
817030,"BMW",147
817031,"BMW",185
817032,"BMW",174
817033,"BMW",111
817034,"BMW",199
817035,"BMW",232
817036,"BMW",185
817037,"BMW",228
817038,"BMW",223
817039,"BMW",175
817040,"BMW",236
817041,"BMW",177
817042,"BMW",204
817043,"BMW",217
817044,"BMW",321
817045,"BMW",231
817046,"BMW",241
817047,"BMW",209
817048,"BMW",199
817049,"BMW",177
817050,"BMW",238
817051,"BMW",229
817052,"BMW",306
817053,"BMW",195
817054,"BMW",213
817055,"BMW",260
817056,"BMW",207
817057,"BMW",222
817058,"BMW",274
817059,"BMW",202
817060,"BMW",360
817061,"BMW",228
817062,"BMW",249
817063,"BMW",236
817064,"BMW",231
817065,"BMW",220
817066,"BMW",158
903001,"DINA",0
903002,"DINA",14061
903003,"DINA",972
903004,"DINA",0
903006,"DINA",0
904001,"DINA",15422
904002,"DINA",15454
904003,"DINA",0
910001,"DINA",0
910080,"DINA",0
910082,"DINA",0
911001,"DINA",0
911002,"DINA",0
912001,"DINA",0
912002,"DINA",0
922003,"DINA",0
926001,"DINA",15422
926002,"DINA",0
1001007,"BUICK",1521
1001008,"BUICK",1477
1001015,"BUICK",1338
1001016,"BUICK",1604
1001017,"BUICK",1593
1001018,"BUICK",1482
1001019,"BUICK",1876
1001020,"BUICK",1516
1001021,"BUICK",1589
1006001,"BUICK",2200
1117001,"CAGIVA",125
1117002,"CAGIVA",68
1117003,"CAGIVA",123
1117004,"CAGIVA",129
1117005,"CAGIVA",125
1117006,"CAGIVA",127
1117007,"CAGIVA",152
1117008,"CAGIVA",125
1117009,"CAGIVA",171
1201005,"CADILLAC",1727
1201006,"CADILLAC",1510
1201007,"CADILLAC",2018
1201008,"CADILLAC",1793
1201009,"CADILLAC",1658
1208001,"CADILLAC",2698
1208002,"CADILLAC",2015
1208003,"CADILLAC",2698
1208004,"CADILLAC",2500
1208005,"CADILLAC",2638
1221001,"CADILLAC",2648
1508001,"CORCEL",1750
1508002,"CORCEL",1750
1508003,"CORCEL",1800
1601001,"CHEVROLET",1553
1601005,"CHEVROLET",0
1601006,"CHEVROLET",1050
1601007,"CHEVROLET",0
1601010,"CHEVROLET",0
1601011,"CHEVROLET",0
1601012,"CHEVROLET",1350
1601013,"CHEVROLET",1350
1601014,"CHEVROLET",1407
1601024,"CHEVROLET",1090
1601025,"CHEVROLET",1090
1601026,"CHEVROLET",1090
1601029,"CHEVROLET",1180
1601030,"CHEVROLET",1180
1601031,"CHEVROLET",1090
1601034,"CHEVROLET",1090
1601035,"CHEVROLET",1090
1601036,"CHEVROLET",1090
1601037,"CHEVROLET",1090
1601038,"CHEVROLET",1090
1601039,"CHEVROLET",1090
1601040,"CHEVROLET",845
1601041,"CHEVROLET",845
1601042,"CHEVROLET",820
1601043,"CHEVROLET",820
1601044,"CHEVROLET",1170
1601045,"CHEVROLET",1300
1601046,"CHEVROLET",800
1601047,"CHEVROLET",800
1601048,"CHEVROLET",1750
1601049,"CHEVROLET",800
1601050,"CHEVROLET",1600
1601052,"CHEVROLET",1750
1601055,"CHEVROLET",850
1601057,"CHEVROLET",1350
1601058,"CHEVROLET",1750
1601059,"CHEVROLET",1750
1601060,"CHEVROLET",910
1601061,"CHEVROLET",960
1601062,"CHEVROLET",845
1601063,"CHEVROLET",945
1601064,"CHEVROLET",935
1601065,"CHEVROLET",945
1601066,"CHEVROLET",1000
1601068,"CHEVROLET",1000
1601069,"CHEVROLET",945
1601070,"CHEVROLET",955
1601071,"CHEVROLET",965
1601072,"CHEVROLET",995
1601073,"CHEVROLET",965
1601075,"CHEVROLET",730
1601076,"CHEVROLET",960
1601078,"CHEVROLET",1180
1601081,"CHEVROLET",1180
1601084,"CHEVROLET",1180
1601085,"CHEVROLET",983
1601086,"CHEVROLET",1250
1601088,"CHEVROLET",845
1601089,"CHEVROLET",951
1601092,"CHEVROLET",910
1601093,"CHEVROLET",955
1601094,"CHEVROLET",1300
1601096,"CHEVROLET",730
1601097,"CHEVROLET",1300
1601099,"CHEVROLET",1180
1601100,"CHEVROLET",955
1601101,"CHEVROLET",1180
1601102,"CHEVROLET",1080
1601103,"CHEVROLET",1065
1601104,"CHEVROLET",1110
1601105,"CHEVROLET",965
1601106,"CHEVROLET",1405
1601107,"CHEVROLET",1425
1601110,"CHEVROLET",1275
1601111,"CHEVROLET",1255
1601113,"CHEVROLET",730
1601114,"CHEVROLET",983
1601118,"CHEVROLET",1435
1601119,"CHEVROLET",1482
1601120,"CHEVROLET",1150
1601121,"CHEVROLET",1180
1601122,"CHEVROLET",1180
1601123,"CHEVROLET",945
1601124,"CHEVROLET",945
1601125,"CHEVROLET",730
1601126,"CHEVROLET",1210
1601127,"CHEVROLET",1230
1601128,"CHEVROLET",1280
1601129,"CHEVROLET",1300
1601131,"CHEVROLET",1080
1601132,"CHEVROLET",795
1601133,"CHEVROLET",820
1601136,"CHEVROLET",795
1601137,"CHEVROLET",820
1601138,"CHEVROLET",1400
1601140,"CHEVROLET",1180
1601141,"CHEVROLET",950
1601142,"CHEVROLET",884
1601146,"CHEVROLET",1115
1601147,"CHEVROLET",964
1601148,"CHEVROLET",850
1601149,"CHEVROLET",868
1601150,"CHEVROLET",899
1601154,"CHEVROLET",1533
1601155,"CHEVROLET",1320
1601156,"CHEVROLET",1080
1601157,"CHEVROLET",995
1601159,"CHEVROLET",1025
1601160,"CHEVROLET",1085
1601161,"CHEVROLET",1125
1601164,"CHEVROLET",1125
1601165,"CHEVROLET",945
1601166,"CHEVROLET",1300
1601167,"CHEVROLET",1280
1601169,"CHEVROLET",1080
1601170,"CHEVROLET",1065
1601171,"CHEVROLET",1230
1601172,"CHEVROLET",1255
1601173,"CHEVROLET",1280
1601174,"CHEVROLET",945
1601181,"CHEVROLET",1180
1601182,"CHEVROLET",965
1601184,"CHEVROLET",1085
1601187,"CHEVROLET",1085
1601188,"CHEVROLET",795
1601189,"CHEVROLET",795
1601190,"CHEVROLET",820
1601191,"CHEVROLET",1407
1601192,"CHEVROLET",820
1601193,"CHEVROLET",1115
1601194,"CHEVROLET",1095
1601195,"CHEVROLET",1230
1601196,"CHEVROLET",1085
1601198,"CHEVROLET",1095
1601199,"CHEVROLET",1095
1601200,"CHEVROLET",855
1601201,"CHEVROLET",1125
1601202,"CHEVROLET",1125
1601203,"CHEVROLET",1125
