"Estado","Nacionalidad","Combustible","Puertas","Transmision","Codigo"
"Activo","ALE","GSL",2,"4X2",801333
"Activo","ALE","GSL",4,"4X2",801334
"Activo","ALE","GSL",2,"4X2",801335
"Activo","ALE","GSL",4,"4X2",801336
"Activo","ALE","GSL",4,"4X2",801337
"Activo","ALE","GSL",2,"4X2",801338
"Activo","ALE","GSL",2,"4X2",801339
"Activo","ALE","GSL",3,"4X2",801340
"Activo","ALE","GSL",3,"4X2",801341
"Activo","ALE","GSL",3,"4X4",801342
"Activo","ALE","GSL",4,"4X2",801343
"Activo","ALE","GSL",2,"4X2",801344
"Activo","ALE","GSL",4,"4X2",801345
"Activo","ALE","DSL",4,"4X2",801346
"Activo","ALE","GSL",2,"4X2",801347
"Activo","ALE","GSL",3,"4X2",801348
"Activo","ALE","GSL",3,"4X2",801349
"Activo","ALE","GSL",2,"4X2",801350
"Activo","ALE","GSL",4,"4X2",801351
"Activo","ALE","GSL",5,"4X2",801352
"Activo","ALE","GSL",4,"4X2",801353
"Activo","ALE","GSL",2,"4X2",801354
